elapsed_s,wall,ps_app_uid,cgroup_phantom,app_pid,proot_pid,busybox,ams_phantom_records,guest_last
0,21:40:17,52,51,27130,27297,49,0,"[GUEST] GUEST_SPAWNED=48"
15,21:40:33,52,51,27130,27297,50,0,"[GUEST] GUEST_ALIVE=48/48 ts=1789479618"
30,21:40:47,52,51,27130,27297,50,0,"[GUEST] GUEST_ALIVE=48/48 ts=1789479633"
45,21:41:02,52,51,27130,27297,50,0,"[GUEST] GUEST_ALIVE=48/48 ts=1789479649"
60,21:41:18,52,51,27130,27297,50,0,"[GUEST] GUEST_ALIVE=48/48 ts=1789479665"
120,21:42:18,52,51,27130,27297,50,0,"[GUEST] GUEST_ALIVE=48/48 ts=1789479730"
180,21:43:17,52,51,27130,27297,50,0,"[GUEST] GUEST_ALIVE=48/48 ts=1789479794"
240,21:44:18,52,51,27130,27297,50,0,"[GUEST] GUEST_ALIVE=48/48 ts=1789479858"
300,21:45:18,52,51,27130,27297,50,0,"[GUEST] GUEST_ALIVE=48/48 ts=1789479907"
360,21:46:17,52,51,27130,27297,50,0,"[GUEST] GUEST_ALIVE=48/48 ts=1789479971"
420,21:47:18,52,51,27130,27297,50,0,"[GUEST] GUEST_ALIVE=48/48 ts=1789480036"
